Frecuencias de nombres masculinos;;;
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2016;;;
;;;
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.;;;
(*) Edad media de las personas que tienen ese nombre a nivel nacional.;;;
;;;
Orden;Nombre;Frecuencia;Edad Media (*)
392;BRIAN;4.939 ;22,4
393;OCTAVIO;4.876 ;52,1
394;LUCIO;4.869 ;63,2
395;MICHAEL;4.860 ;34,2
396;RODOLFO;4.851 ;54,5
397;NOEL;4.833 ;20,4
398;BIENVENIDO;4.824 ;60,4
399;ADAN;4.802 ;20,2
400;PEDRO MIGUEL;4.798 ;44,1
401;ANSELMO;4.784 ;61,2
402;ROQUE;4.770 ;48,5
403;BERNABE;4.761 ;54,3
404;BALTASAR;4.748 ;58,2
405;CARLOS JOSE;4.734 ;41,5
406;LAZARO;4.698 ;53,9
407;FRANCISCO BORJA;4.675 ;34,7
408;JOSE FELIX;4.672 ;49,2
409;MANUEL ALEJANDRO;4.669 ;29,9
410;AMADEO;4.665 ;60,0
411;JOSE GABRIEL;4.625 ;41,6
412;ABDERRAHIM;4.621 ;37,0
413;HAMID;4.595 ;39,4
414;JOSE PEDRO;4.588 ;47,2
415;EULOGIO;4.571 ;63,5
416;JESUS MIGUEL;4.545 ;43,2
417;GAEL;4.544 ;5,2
418;TEOFILO;4.542 ;66,6
419;ALAIN;4.540 ;21,6
420;KARIM;4.539 ;27,4
421;PLACIDO;4.538 ;61,0
422;CASIMIRO;4.530 ;65,1
423;MANUEL FRANCISCO;4.491 ;48,1
424;FRANCISCO ASIS;4.472 ;43,4
425;LUIS FRANCISCO;4.444 ;43,8
426;IBRAHIM;4.439 ;19,1
427;JUAN DAVID;4.439 ;23,9
428;FULGENCIO;4.436 ;59,8
429;CELSO;4.428 ;59,9
430;ANAS;4.415 ;9,2
431;JOSE RAFAEL;4.413 ;47,4
432;PELAYO;4.381 ;20,8
433;BALDOMERO;4.297 ;60,2
434;IGNASI;4.290 ;33,2
435;ABDESLAM;4.269 ;47,8
436;JUAN ENRIQUE;4.261 ;45,4
437;HERMINIO;4.247 ;62,9
438;MAXIMINO;4.230 ;63,5
439;JOSE DOMINGO;4.220 ;48,1
440;JESUS JAVIER;4.167 ;43,4
441;PAUL;4.156 ;32,6
442;ALBERTO JOSE;4.120 ;39,3
443;JORGE JUAN;4.096 ;43,0
444;DYLAN;4.095 ;4,9
445;ELOI;4.095 ;17,4
446;DRISS;4.072 ;42,7
447;ALEXANDRU;4.057 ;33,1
448;PABLO JOSE;4.045 ;34,3
449;DENIS;4.017 ;18,5
450;AQUILINO;4.013 ;62,1
451;YASSINE;3.975 ;20,3
452;GUMERSINDO;3.971 ;64,5
453;VICENTE JOSE;3.947 ;46,8
454;BONIFACIO;3.945 ;65,7
455;VICTOR JOSE;3.942 ;37,2
456;ANIBAL;3.919 ;41,1
457;BEÑAT;3.919 ;15,5
458;NORBERTO;3.914 ;51,7
459;JAMAL;3.905 ;35,7
460;MIHAI;3.898 ;39,4
461;ORLANDO;3.889 ;47,1
462;MARINO;3.887 ;59,3
463;VIDAL;3.870 ;58,0
464;VICTORINO;3.867 ;67,1
465;VICENT;3.865 ;29,1
466;LUIS ALFONSO;3.861 ;44,0
467;JUAN GABRIEL;3.856 ;35,2
468;MAMADOU;3.856 ;35,7
469;JOSE ALEJANDRO;3.852 ;34,4
470;MARIUS;3.847 ;33,8
471;STEFAN;3.819 ;39,4
472;JOSE PABLO;3.816 ;40,5
473;JUAN FERNANDO;3.796 ;44,7
474;HIPOLITO;3.792 ;63,7
475;IBON;3.772 ;27,9
476;MELCHOR;3.768 ;58,2
477;CARLOS ENRIQUE;3.758 ;44,5
478;MARCOS ANTONIO;3.736 ;39,0
479;ELEUTERIO;3.722 ;66,0
480;AZIZ;3.692 ;36,2
481;ARSENIO;3.687 ;63,5
482;ROSENDO;3.686 ;59,9
483;IBAN;3.676 ;32,8
484;ANTONIO MARIA;3.675 ;51,9
485;JOSE TOMAS;3.670 ;47,1
486;MAX;3.654 ;9,8
487;VIRGILIO;3.617 ;62,0
488;HIGINIO;3.598 ;63,0
489;LLUC;3.593 ;9,7
490;JOSE JESUS;3.588 ;48,8
491;SAMIR;3.559 ;28,3
492;GAIZKA;3.549 ;24,2
493;GUSTAVO ADOLFO;3.545 ;40,8
